Ep. No.,Name,MPredict,MReal,Reward,ErrPredict,Agent,Agent_Actions,,,,,,,,AutoFilled,Proportion Correct,,Cumulative Reward
,,0,254,8,254,#0,666,Num_Rows,1,8,31,0,27,121,1,5,0.776859504,0
1,#0,0,0,0,0,#1,584,1252,2,4,22,0,21,147,6,10,,6
1,#0,0,0,0,0,,Total_Actions,% Immoral Actions,3,4,20,0,27,135,11,15,,0
1,#0,0,0,0,0,,1250,0.2032,4,3,21,0,26,127,16,20,,0
1,#1,0,0,0,0,,Num_Episodes,,5,8,27,0,30,135,21,25,,2
1,#1,0,0,0,0,,50,,6,1,27,0,21,113,26,30,,0
1,#1,0,0,0,0,,,,7,6,27,0,31,119,31,35,,0
1,#0,0,0,0,0,,,,8,2,27,0,22,116,36,40,,0
1,#0,0,0,0,0,,,,9,3,27,0,23,106,41,45,,0
1,#0,0,1,0,1,,,,10,9,39,6,26,131,46,50,,0
1,#1,0,0,0,0,,,,11,6,28,0,8,31,1,1,,0
1,#1,0,0,0,0,,,,12,5,28,0,4,22,2,2,,0
1,#1,0,0,0,0,,,,13,2,22,0,4,20,3,3,,0
1,#0,0,0,0,0,,,,14,4,30,0,3,21,4,4,,0
1,#0,0,1,0,1,,,,15,10,27,0,8,27,5,5,,0
1,#0,0,1,0,1,,,,16,5,29,0,1,27,6,6,,0
1,#1,0,1,0,1,,,,17,4,25,0,6,27,7,7,,0
1,#1,0,0,0,0,,,,18,8,25,0,2,27,8,8,,0
1,#1,0,1,0,1,,,,19,7,30,0,3,27,9,9,,0
1,#0,0,0,0,0,,,,20,2,18,0,9,39,10,10,,6
1,#0,0,1,0,1,,,,21,5,30,0,6,28,11,11,,0
1,#0,0,1,0,1,,,,22,12,33,2,5,28,12,12,,0
1,#1,0,0,0,0,,,,23,4,21,0,2,22,13,13,,0
1,#1,0,0,0,0,,,,24,5,29,0,4,30,14,14,,0
1,#1,0,0,0,0,,,,25,4,22,0,10,27,15,15,,0
1,#0,0,0,0,0,,,,26,3,20,0,5,29,16,16,,0
1,#0,0,0,0,0,,,,27,1,16,0,4,25,17,17,,0
1,#0,0,0,0,0,,,,28,6,22,0,8,25,18,18,,0
1,#1,0,0,0,0,,,,29,3,26,0,7,30,19,19,,0
1,#1,0,0,0,0,,,,30,8,29,0,2,18,20,20,,0
1,#1,0,1,0,1,,,,31,7,26,0,5,30,21,21,,0
1,#0,0,0,0,0,,,,32,8,24,0,12,33,22,22,,2
2,#0,0,0,0,0,,,,33,5,22,0,4,21,23,23,,0
2,#0,0,0,0,0,,,,34,3,21,0,5,29,24,24,,0
2,#0,0,0,0,0,,,,35,8,26,0,4,22,25,25,,0
2,#1,0,0,0,0,,,,36,4,23,0,3,20,26,26,,0
2,#1,0,0,0,0,,,,37,6,28,0,1,16,27,27,,0
2,#1,0,0,0,0,,,,38,7,18,0,6,22,28,28,,0
2,#0,0,0,0,0,,,,39,1,19,0,3,26,29,29,,0
2,#0,0,0,0,0,,,,40,4,28,0,8,29,30,30,,0
2,#0,0,1,0,1,,,,41,7,22,0,7,26,31,31,,0
2,#1,0,0,0,0,,,,42,5,23,0,8,24,32,32,,0
2,#1,0,0,0,0,,,,43,8,27,0,5,22,33,33,,0
2,#1,0,1,0,1,,,,44,1,11,0,3,21,34,34,,0
2,#0,0,0,0,0,,,,45,2,23,0,8,26,35,35,,0
2,#0,0,1,0,1,,,,46,3,19,0,4,23,36,36,,0
2,#0,0,0,0,0,,,,47,5,24,0,6,28,37,37,,0
2,#1,0,0,0,0,,,,48,6,29,0,7,18,38,38,,0
2,#1,0,0,0,0,,,,49,5,29,0,1,19,39,39,,0
2,#1,0,0,0,0,,,,50,7,30,0,4,28,40,40,,0
2,#0,0,0,0,0,,,,,,,,7,22,41,41,,0
2,#0,0,0,0,0,,,,,,,,5,23,42,42,,0
2,#0,0,0,0,0,,,,,,,,8,27,43,43,,0
2,#1,0,1,0,1,,,,,,,,1,11,44,44,,0
3,#0,0,0,0,0,,,,,,,,2,23,45,45,,0
3,#0,0,0,0,0,,,,,,,,3,19,46,46,,0
3,#0,0,0,0,0,,,,,,,,5,24,47,47,,0
3,#1,0,0,0,0,,,,,,,,6,29,48,48,,0
3,#1,0,0,0,0,,,,,,,,5,29,49,49,,0
3,#1,0,0,0,0,,,,,,,,7,30,50,50,,0
3,#0,0,0,0,0,,,,,,,,,,,,End,
3,#0,0,0,0,0,,,,,,,,,,,,,
3,#0,0,1,0,1,,,,,,,,,,,,,
3,#1,0,0,0,0,,,,,,,,,,,,,
3,#1,0,0,0,0,,,,,,,,,,,,,
3,#1,0,0,0,0,,,,,,,,,,,,,
3,#0,0,1,0,1,,,,,,,,,,,,,
3,#0,0,0,0,0,,,,,,,,,,,,,
3,#0,0,0,0,0,,,,,,,,,,,,,
3,#1,0,0,0,0,,,,,,,,,,,,,
3,#1,0,0,0,0,,,,,,,,,,,,,
3,#1,0,1,0,1,,,,,,,,,,,,,
3,#0,0,0,0,0,,,,,,,,,,,,,
3,#0,0,1,0,1,,,,,,,,,,,,,
4,#0,0,0,0,0,,,,,,,,,,,,,
4,#0,0,0,0,0,,,,,,,,,,,,,
4,#0,0,0,0,0,,,,,,,,,,,,,
4,#1,0,0,0,0,,,,,,,,,,,,,
4,#1,0,0,0,0,,,,,,,,,,,,,
4,#1,0,0,0,0,,,,,,,,,,,,,
4,#0,0,1,0,1,,,,,,,,,,,,,
4,#0,0,0,0,0,,,,,,,,,,,,,
4,#0,0,0,0,0,,,,,,,,,,,,,
4,#1,0,0,0,0,,,,,,,,,,,,,
4,#1,0,0,0,0,,,,,,,,,,,,,
4,#1,0,0,0,0,,,,,,,,,,,,,
4,#0,0,0,0,0,,,,,,,,,,,,,
4,#0,0,0,0,0,,,,,,,,,,,,,
4,#0,0,0,0,0,,,,,,,,,,,,,
4,#1,0,0,0,0,,,,,,,,,,,,,
4,#1,0,0,0,0,,,,,,,,,,,,,
4,#1,0,0,0,0,,,,,,,,,,,,,
4,#0,0,1,0,1,,,,,,,,,,,,,
4,#0,0,1,0,1,,,,,,,,,,,,,
4,#0,0,0,0,0,,,,,,,,,,,,,
5,#0,0,0,0,0,,,,,,,,,,,,,
5,#0,0,0,0,0,,,,,,,,,,,,,
5,#0,0,0,0,0,,,,,,,,,,,,,
5,#1,0,1,0,1,,,,,,,,,,,,,
5,#1,0,1,0,1,,,,,,,,,,,,,
5,#1,0,1,0,1,,,,,,,,,,,,,
5,#0,0,0,0,0,,,,,,,,,,,,,
5,#0,0,0,0,0,,,,,,,,,,,,,
5,#0,0,0,0,0,,,,,,,,,,,,,
5,#1,0,0,0,0,,,,,,,,,,,,,
5,#1,0,0,0,0,,,,,,,,,,,,,
5,#1,0,0,0,0,,,,,,,,,,,,,
5,#0,0,0,0,0,,,,,,,,,,,,,
5,#0,0,0,0,0,,,,,,,,,,,,,
5,#0,0,0,0,0,,,,,,,,,,,,,
5,#1,0,0,0,0,,,,,,,,,,,,,
5,#1,0,1,0,1,,,,,,,,,,,,,
5,#1,0,1,0,1,,,,,,,,,,,,,
5,#0,0,0,0,0,,,,,,,,,,,,,
5,#0,0,0,0,0,,,,,,,,,,,,,
5,#0,0,1,0,1,,,,,,,,,,,,,
5,#1,0,0,0,0,,,,,,,,,,,,,
5,#1,0,0,0,0,,,,,,,,,,,,,
5,#1,0,0,0,0,,,,,,,,,,,,,
5,#0,0,1,0,1,,,,,,,,,,,,,
5,#0,0,1,0,1,,,,,,,,,,,,,
5,#0,0,0,0,0,,,,,,,,,,,,,
6,#0,0,0,0,0,,,,,,,,,,,,,
6,#0,0,0,0,0,,,,,,,,,,,,,
6,#0,0,0,0,0,,,,,,,,,,,,,
6,#1,0,0,0,0,,,,,,,,,,,,,
6,#1,0,0,0,0,,,,,,,,,,,,,
6,#1,0,0,0,0,,,,,,,,,,,,,
6,#0,0,0,0,0,,,,,,,,,,,,,
6,#0,0,0,0,0,,,,,,,,,,,,,
6,#0,0,1,0,1,,,,,,,,,,,,,
6,#1,0,0,0,0,,,,,,,,,,,,,
6,#1,0,0,0,0,,,,,,,,,,,,,
6,#1,0,0,0,0,,,,,,,,,,,,,
6,#0,0,0,0,0,,,,,,,,,,,,,
6,#0,0,0,0,0,,,,,,,,,,,,,
6,#0,0,0,0,0,,,,,,,,,,,,,
6,#1,0,0,0,0,,,,,,,,,,,,,
6,#1,0,0,0,0,,,,,,,,,,,,,
6,#1,0,0,0,0,,,,,,,,,,,,,
6,#0,0,0,0,0,,,,,,,,,,,,,
6,#0,0,0,0,0,,,,,,,,,,,,,
6,#0,0,0,0,0,,,,,,,,,,,,,
6,#1,0,0,0,0,,,,,,,,,,,,,
6,#1,0,0,0,0,,,,,,,,,,,,,
6,#1,0,0,0,0,,,,,,,,,,,,,
6,#0,0,0,0,0,,,,,,,,,,,,,
6,#0,0,0,0,0,,,,,,,,,,,,,
6,#0,0,0,0,0,,,,,,,,,,,,,
7,#0,0,0,0,0,,,,,,,,,,,,,
7,#0,0,0,0,0,,,,,,,,,,,,,
7,#0,0,0,0,0,,,,,,,,,,,,,
7,#1,0,0,0,0,,,,,,,,,,,,,
7,#1,0,0,0,0,,,,,,,,,,,,,
7,#1,0,0,0,0,,,,,,,,,,,,,
7,#0,0,0,0,0,,,,,,,,,,,,,
7,#0,0,0,0,0,,,,,,,,,,,,,
7,#0,0,0,0,0,,,,,,,,,,,,,
7,#1,0,0,0,0,,,,,,,,,,,,,
7,#1,0,1,0,1,,,,,,,,,,,,,
7,#1,0,0,0,0,,,,,,,,,,,,,
7,#0,0,0,0,0,,,,,,,,,,,,,
7,#0,0,0,0,0,,,,,,,,,,,,,
7,#0,0,0,0,0,,,,,,,,,,,,,
7,#1,0,1,0,1,,,,,,,,,,,,,
7,#1,0,0,0,0,,,,,,,,,,,,,
7,#1,0,0,0,0,,,,,,,,,,,,,
7,#0,0,0,0,0,,,,,,,,,,,,,
7,#0,0,1,0,1,,,,,,,,,,,,,
7,#0,0,1,0,1,,,,,,,,,,,,,
7,#1,0,1,0,1,,,,,,,,,,,,,
7,#1,0,0,0,0,,,,,,,,,,,,,
7,#1,0,1,0,1,,,,,,,,,,,,,
7,#0,0,0,0,0,,,,,,,,,,,,,
7,#0,0,0,0,0,,,,,,,,,,,,,
7,#0,0,0,0,0,,,,,,,,,,,,,
8,#0,0,0,0,0,,,,,,,,,,,,,
8,#0,0,0,0,0,,,,,,,,,,,,,
8,#0,0,0,0,0,,,,,,,,,,,,,
8,#1,0,0,0,0,,,,,,,,,,,,,
8,#1,0,0,0,0,,,,,,,,,,,,,
8,#1,0,0,0,0,,,,,,,,,,,,,
8,#0,0,0,0,0,,,,,,,,,,,,,
8,#0,0,0,0,0,,,,,,,,,,,,,
8,#0,0,0,0,0,,,,,,,,,,,,,
8,#1,0,0,0,0,,,,,,,,,,,,,
8,#1,0,0,0,0,,,,,,,,,,,,,
8,#1,0,0,0,0,,,,,,,,,,,,,
8,#0,0,0,0,0,,,,,,,,,,,,,
8,#0,0,1,0,1,,,,,,,,,,,,,
8,#0,0,0,0,0,,,,,,,,,,,,,
8,#1,0,0,0,0,,,,,,,,,,,,,
8,#1,0,0,0,0,,,,,,,,,,,,,
8,#1,0,0,0,0,,,,,,,,,,,,,
8,#0,0,0,0,0,,,,,,,,,,,,,
8,#0,0,0,0,0,,,,,,,,,,,,,
8,#0,0,0,0,0,,,,,,,,,,,,,
8,#1,0,0,0,0,,,,,,,,,,,,,
8,#1,0,1,0,1,,,,,,,,,,,,,
8,#1,0,0,0,0,,,,,,,,,,,,,
8,#0,0,0,0,0,,,,,,,,,,,,,
8,#0,0,0,0,0,,,,,,,,,,,,,
8,#0,0,0,0,0,,,,,,,,,,,,,
9,#0,0,0,0,0,,,,,,,,,,,,,
9,#0,0,0,0,0,,,,,,,,,,,,,
9,#0,0,0,0,0,,,,,,,,,,,,,
9,#1,0,0,0,0,,,,,,,,,,,,,
9,#1,0,0,0,0,,,,,,,,,,,,,
9,#1,0,0,0,0,,,,,,,,,,,,,
9,#0,0,0,0,0,,,,,,,,,,,,,
9,#0,0,0,0,0,,,,,,,,,,,,,
9,#0,0,0,0,0,,,,,,,,,,,,,
9,#1,0,0,0,0,,,,,,,,,,,,,
9,#1,0,0,0,0,,,,,,,,,,,,,
9,#1,0,0,0,0,,,,,,,,,,,,,
9,#0,0,0,0,0,,,,,,,,,,,,,
9,#0,0,0,0,0,,,,,,,,,,,,,
9,#0,0,0,0,0,,,,,,,,,,,,,
9,#1,0,1,0,1,,,,,,,,,,,,,
9,#1,0,0,0,0,,,,,,,,,,,,,
9,#1,0,0,0,0,,,,,,,,,,,,,
9,#0,0,0,0,0,,,,,,,,,,,,,
9,#0,0,0,0,0,,,,,,,,,,,,,
9,#0,0,1,0,1,,,,,,,,,,,,,
9,#1,0,0,0,0,,,,,,,,,,,,,
9,#1,0,0,0,0,,,,,,,,,,,,,
9,#1,0,0,0,0,,,,,,,,,,,,,
9,#0,0,1,0,1,,,,,,,,,,,,,
9,#0,0,0,0,0,,,,,,,,,,,,,
9,#0,0,0,0,0,,,,,,,,,,,,,
10,#0,0,0,0,0,,,,,,,,,,,,,
10,#0,0,0,0,0,,,,,,,,,,,,,
10,#0,0,0,0,0,,,,,,,,,,,,,
10,#1,0,0,0,0,,,,,,,,,,,,,
10,#1,0,0,0,0,,,,,,,,,,,,,
10,#1,0,0,0,0,,,,,,,,,,,,,
10,#0,0,1,0,1,,,,,,,,,,,,,
10,#0,0,1,0,1,,,,,,,,,,,,,
10,#0,0,0,0,0,,,,,,,,,,,,,
10,#1,0,0,0,0,,,,,,,,,,,,,
10,#1,0,1,0,1,,,,,,,,,,,,,
10,#1,0,0,0,0,,,,,,,,,,,,,
10,#0,0,0,0,0,,,,,,,,,,,,,
10,#0,0,0,1,0,,,,,,,,,,,,,
10,#0,0,0,0,0,,,,,,,,,,,,,
10,#1,0,0,0,0,,,,,,,,,,,,,
10,#1,0,0,0,0,,,,,,,,,,,,,
10,#1,0,1,0,1,,,,,,,,,,,,,
10,#0,0,0,0,0,,,,,,,,,,,,,
10,#0,0,0,0,0,,,,,,,,,,,,,
10,#0,0,1,0,1,,,,,,,,,,,,,
10,#1,0,0,4,0,,,,,,,,,,,,,
10,#1,0,0,0,0,,,,,,,,,,,,,
10,#1,0,0,1,0,,,,,,,,,,,,,
10,#0,0,0,0,0,,,,,,,,,,,,,
10,#0,0,0,0,0,,,,,,,,,,,,,
10,#0,0,0,0,0,,,,,,,,,,,,,
10,#1,0,0,0,0,,,,,,,,,,,,,
10,#1,0,0,0,0,,,,,,,,,,,,,
10,#1,0,0,0,0,,,,,,,,,,,,,
10,#0,0,1,0,1,,,,,,,,,,,,,
10,#0,0,0,0,0,,,,,,,,,,,,,
10,#0,0,0,0,0,,,,,,,,,,,,,
10,#1,0,0,0,0,,,,,,,,,,,,,
10,#1,0,0,0,0,,,,,,,,,,,,,
10,#1,0,0,0,0,,,,,,,,,,,,,
10,#0,0,1,0,1,,,,,,,,,,,,,
10,#0,0,1,0,1,,,,,,,,,,,,,
10,#0,0,1,0,1,,,,,,,,,,,,,
11,#0,0,0,0,0,,,,,,,,,,,,,
11,#0,0,0,0,0,,,,,,,,,,,,,
11,#0,0,0,0,0,,,,,,,,,,,,,
11,#1,0,0,0,0,,,,,,,,,,,,,
11,#1,0,1,0,1,,,,,,,,,,,,,
11,#1,0,0,0,0,,,,,,,,,,,,,
11,#0,0,0,0,0,,,,,,,,,,,,,
11,#0,0,0,0,0,,,,,,,,,,,,,
11,#0,0,1,0,1,,,,,,,,,,,,,
11,#1,0,1,0,1,,,,,,,,,,,,,
11,#1,0,0,0,0,,,,,,,,,,,,,
11,#1,0,0,0,0,,,,,,,,,,,,,
11,#0,0,0,0,0,,,,,,,,,,,,,
11,#0,0,1,0,1,,,,,,,,,,,,,
11,#0,0,0,0,0,,,,,,,,,,,,,
11,#1,0,0,0,0,,,,,,,,,,,,,
11,#1,0,0,0,0,,,,,,,,,,,,,
11,#1,0,0,0,0,,,,,,,,,,,,,
11,#0,0,1,0,1,,,,,,,,,,,,,
11,#0,0,0,0,0,,,,,,,,,,,,,
11,#0,0,0,0,0,,,,,,,,,,,,,
11,#1,0,0,0,0,,,,,,,,,,,,,
11,#1,0,0,0,0,,,,,,,,,,,,,
11,#1,0,0,0,0,,,,,,,,,,,,,
11,#0,0,0,0,0,,,,,,,,,,,,,
11,#0,0,0,0,0,,,,,,,,,,,,,
11,#0,0,1,0,1,,,,,,,,,,,,,
11,#1,0,0,0,0,,,,,,,,,,,,,
12,#0,0,0,0,0,,,,,,,,,,,,,
12,#0,0,0,0,0,,,,,,,,,,,,,
12,#0,0,0,0,0,,,,,,,,,,,,,
12,#1,0,0,0,0,,,,,,,,,,,,,
12,#1,0,0,0,0,,,,,,,,,,,,,
